valore,category_1,image_1,category_2,image_2,id_floritaly,id_actaplantarum,nome_com,link_imm,usi_attestati,wikipedia,wikispecies
Euonymus europaeus L.,Celastraceae,Celastraceae.png,Euonymus,Euonymus.png,3053,503053,"Fusaria comune, Fusaggine comune, Berretto da prete, Berretta da prete, Evonimo comune, Corallini",https://www.actaplantarum.org/z_forum/immag/imm.php?i=36479,Entità officinale; Uso forestale; Uso artigianale,https://it.wikipedia.org/wiki/Euonymus_europaeus,https://species.wikimedia.org/wiki/Euonymus_europaeus
Euonymus sp.,Celastraceae,Celastraceae.png,Euonymus,Euonymus.png,,,,,,https://it.wikipedia.org/wiki/Euonymus,https://species.wikimedia.org/wiki/Euonymus
Ceratophyllum submersum L. subsp. submersum,Ceratophyllaceae,Ceratophyllaceae.png,Ceratophyllum submersum,Ceratophyllum.png,986,500986,Ceratofillo sommerso,https://www.actaplantarum.org/z_forum/immag/imm.php?i=181623,Nessun utilizzo noto,https://en.wikipedia.org/wiki/Ceratophyllum_submersum,https://species.wikimedia.org/wiki/Ceratophyllum_submersum
Cistus sp.,Cistaceae,Cistaceae.png,Cistus,Cistus.png,,,,,,https://it.wikipedia.org/wiki/Cistus,https://species.wikimedia.org/wiki/Cistus
Convolvulus arvensis L.,Convolvulaceae,Convolvulaceae.png,Convolvulus,Convolvulus.png,4233,504233,"Vilucchio comune, Convolvolo comune",https://www.actaplantarum.org/z_forum/immag/imm.php?i=44054,Entità officinale,https://it.wikipedia.org/wiki/Convolvulus_arvensis,https://species.wikimedia.org/wiki/Convolvulus_arvensis
Convolvulus sp.,Convolvulaceae,Convolvulaceae.png,Convolvulus,Convolvulus.png,,,,,,https://it.wikipedia.org/wiki/Convolvulus,https://species.wikimedia.org/wiki/Convolvulus
Cornus mas L.,Cornaceae,Cornaceae.png,Cornus,Cornus.png,3403,503403,"Corniolo maschio, Corniolo, Corgnolo",https://www.actaplantarum.org/z_forum/immag/imm.php?i=10049,Entità commestibile Entità officinale; Uso forestale; Uso artigianale,https://it.wikipedia.org/wiki/Cornus_mas,https://species.wikimedia.org/wiki/Cornus_mas
Cornus mas/sanguinea,Cornaceae,Cornaceae.png,Cornus,Cornus.png,,,,,,,
Cornus sanguinea L.,Cornaceae,Cornaceae.png,Cornus,Cornus.png,3399,503399,"Corniolo sanguinello, Sanguinella",https://www.actaplantarum.org/z_forum/immag/imm.php?i=71760,Entità officinale; Uso artigianale,https://it.wikipedia.org/wiki/Cornus_sanguinea,https://species.wikimedia.org/wiki/Cornus_sanguinea
Cornus sanguinea L. subsp. sanguinea,Cornaceae,Cornaceae.png,Cornus,Cornus.png,3400,503400,"Corniolo sanguinello, Sanguinella",,Entità officinale,https://it.wikipedia.org/wiki/Cornus_sanguinea,https://species.wikimedia.org/wiki/Cornus_sanguinea
Cornus sp.,Cornaceae,Cornaceae.png,Cornus,Cornus.png,,,,,,https://it.wikipedia.org/wiki/Cornus,https://species.wikimedia.org/wiki/Cornus
Citrullus lanatus (Thunb.) Matsum. & Nakai subsp. lanatus,Cucurbitaceae,Cucurbitaceae.png,Citrullus lanatus,Citrullus.png,3311,503311,"Anguria, Cocomero",https://www.actaplantarum.org/z_forum/immag/imm.php?i=32635,Entità commestibile Entità officinale,https://it.wikipedia.org/wiki/Citrullus_lanatus,https://species.wikimedia.org/wiki/Citrullus_lanatus
Cucumis melo L. subsp. melo,Cucurbitaceae,Cucurbitaceae.png,Cucumis melo,Cucumis_melo.png,3313,503313,"Melone, Popone",https://www.actaplantarum.org/z_forum/immag/imm.php?i=690720,Entità commestibile Entità officinale,https://it.wikipedia.org/wiki/Cucumis_melo,https://species.wikimedia.org/wiki/Cucumis_melo
Cucumis sativus L. subsp. sativus,Cucurbitaceae,Cucurbitaceae.png,Cucumis sativus,Cucumis_sativus.png,3314,503314,"Cetriolo, Cetriuolo",https://www.actaplantarum.org/z_forum/immag/imm.php?i=72545,Entità commestibile Entità officinale; Uso cosmetico profumiero,https://it.wikipedia.org/wiki/Cucumis_sativus,https://species.wikimedia.org/wiki/Cucumis_sativus
Cucurbita maxima/moschata,Cucurbitaceae,Cucurbitaceae.png,Cucurbita maxima_moschata,Cucurbita_maxima_moschata.png,,,,,,,
Cucurbita pepo L. subsp. pepo,Cucurbitaceae,Cucurbitaceae.png,Cucurbita pepo,Cucurbita_pepo.png,3316,503316,"Zucchini, Zucchette, Zucchino",https://www.actaplantarum.org/z_forum/immag/imm.php?i=699566,Entità commestibile Entità officinale; Uso artigianale,https://it.wikipedia.org/wiki/Cucurbita_pepo,https://species.wikimedia.org/wiki/Cucurbita_pepo
Cucurbita sp.,Cucurbitaceae,Cucurbitaceae.png,Cucurbita,Cucurbita.png,,,,,,https://it.wikipedia.org/wiki/Cucurbita,https://species.wikimedia.org/wiki/Cucurbita
